Organisation,Adresse,Webseite,E-Mail,Telefonnummer,Stellenangebote,Foerderbedarfe,Profil,Wirkunskreise,Stellenangebote_Beschreibung,Veranstaltungen_Beschreibung,Foto,Film
Deutsch-Madagassischer Schulverein e.V.,"Rostocker Straße 22 
 13059 Berlin",https://www.madagaskar-schulen.de/,,,,,"Der Deutsch-Madagassische Schulverein engagiert sich in Madagaskar für Bildung und Umwelt. Wir organisieren Aufforstungsaktionen und finanzieren den Schulbetrieb einzelner Schulen. Dadurch ermöglichen wir Kindern aus mittellosen Familien den Schulbesuch und fördern mit unseren Aufforstungsaktionen das Umweltbewusstsein vor Ort.
Seit 2014 finanzieren die Mitglieder des Deutsch-Madagassischen Schulvereins e.V. und ihre Freunde den Ausbau und Betrieb der Sekoly-DMG-Schule in Miarinarivo und seid 2019 unterstützen wir finanziell das College le Triomphe. Diese Grundschule befindet sich in Arivonimamo ca. 40 km westlich der Hauptstadt Antananarivo.
Weitere Informationen zu unseren Projekten finden Sie auf unserer Webseite des Deutsch-Madagassischen Schulvereins e.V.
 
",,,,"['https://edelmut.org/wp-content/uploads/2020/09/Kindergruppe-1200x585-96dpi-1024x497.jpg', 'https://edelmut.org/wp-content/uploads/2020/09/Kinder-am-Brunnen-A4-1400x850-JPG-96-dpi-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2020/09/Lehrer-neue-Schule-A4-1800x1240-JPG-144-dpi-1024x682.jpg']",
Berliner Stadtmission,"Lehrter Straße 68 
 10557 Berlin",https://www.berliner-stadtmission.de,'info'@'berliner-stadtmission.de',030690333,"['Ehrenamt', 'FSJ']","['Geldspende', 'Sachspende', 'Zeitspende', 'Zustiftung']","Entsprechend des Leitbibelverses der Berliner Stadtmission “Suchet das Beste der Stadt und betet für zum Herrn.” (Jeremia 29,11) begegnet die Berliner Stadtmission, den Nöten der Menschen Berlins seit über 140 Jahren.
Wir begegnen Menschen und nehmen wahr, was sie brauchen.
Wir sind überzeugt, dass jeder Mensch von Gott eine unverlierbare Würde hat.
Wir achten alle Menschen und begegnen ihnen in Liebe.
Wir nehmen gesellschaftliche Herausforderungen an und setzen uns mit ihnen kritisch und gestaltend auseinander.
Wir laden Menschen ein und begleiten sie in konkreten Lebenssituationen.
Wir setzen uns dafür ein, dass es Menschen an Leib und Seele gut geht.
Wir unterstützen sie, Neuanfänge zu wagen, Potentiale zu entdecken und mehr Lebensqualität zu erlangen.
Wir leben Gastfreundschaft, stellen praktische Hilfen bereit und ermutigen dazu, den christlichen Glauben zu entdecken.
Wir geben Menschen Heimat und leben Gemeinschaft.
Wir wollen, dass Menschen sich bei uns zu Hause fühlen und Heimat finden.
Wir freuen uns, wenn Menschen neue Hoffnung schöpfen.
Wir feiern gemeinsam und schaffen Räume, in denen wir Gott begegnen können.
","Viele Menschen in Berlin kennen die Stadtmission besonders im Zusammenhang mit Hilfen für obdachlose Menschen: die Berliner Stadtmission unterhält eine Reihe von Notunterkünften, Tagesstätten und bietet medizinische Hilfe. Im Winter fährt der Kältebus nachts durch die Straßen Berlins um Menschen ohne Unterkunft zu einer Übernachtungsmöglichkeit zu bringen.
Über diese Hilfen hinaus unterstützt die Berliner Stadtmission viele weitere Menschen. Zum Beispiel gibt es Integrationsprogramme für geflüchtete Menschen, Kinder und Jugendliche können an diversen Freizeitprogrammen teilnehmen, es gibt Wohnangebote für Senioren und Menschen mit Behinderung, Unterstützung für Straffällige und Menschen mit Suchtproblematik.
Außerdem gehören zur Berliner Stadtmission verschiedene christliche Gemeinden, die Gottes Liebe an die Menschen weitergeben und eine Anlaufstelle für alle sind, die sich für den Glauben an Gott interessieren.
Für weitere Informationen schaut gern auch einmal in unsere Jahrespublikation hinein. Mit Bildern, Infos, Zahlen und Fakten rund um unsere vielfältigen Arbeitsbereiche und Projekte wollen wir einen Einblicke geben, wie wir uns für unterschiedlichste Menschen in Berlin und darüber hinaus einsetzen, welche Themen uns beschäftigen und wie wir all dies finanzieren.
",,,"['https://edelmut.org/wp-content/uploads/2020/05/betterplace_Begleitprogramm.jpg', 'https://edelmut.org/wp-content/uploads/2020/05/betterplace_MEH.jpg', 'https://edelmut.org/wp-content/uploads/2020/05/Hitze_fuer_Obdachlose.jpg', 'https://edelmut.org/wp-content/uploads/2020/05/IMG_7365-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2020/05/NaC-Zelt.png', 'https://edelmut.org/wp-content/uploads/2020/05/4-1024x683.jpg']",Watch the films here: https://edelmut.org/organisationen/berliner-stadtmission/#video
Die Arche Hamburg,"Görlitzer Straße 10 
 22045 Hamburg",http://www.kinderprojekt-arche.de,,04045063400,"['Ehrenamt', 'Praktikum', 'FSJ']","['Geldspende', 'Sachspende', 'Zeitspende', 'Zustiftung', 'Kooperation', 'Netzwerkpartner', 'Sponsor', 'Investor']","Ein trauriges Ereignis markiert den Beginn der Gründungsgeschichte der ARCHE in Hamburg-Jenfeld. Am 1. März 2005 starb ein siebenjähriges Mädchen, eingesperrt in der Wohnung ihrer Eltern, den Hungertod. Durch die bundesweite Berichterstattung in den Medien wurde die schwierige Situation von Kindern in desolaten familiären Verhältnissen schlagartig in die öffentliche Wahrnehmung gerückt. Im Fall der kleinen Jessica wurden Lücken im System sichtbarer. Der Pastor der örtlichen Friedenskirche, Thies Hagge, beerdigte das Mädchen und nahm Kontakt zum Verein der ARCHE in Berlin auf, eine solche Situation durfte sich nicht wiederholen. Eine neue Anlaufstelle für Kinder und Familien wurde im Januar 2006 im Stadtteil eröffnet.
Die Arche in Hamburg-Jenfeld ist gewachsen und hat zu über 800 Kindern zwischen 4 und 13 Jahren und 200 Jugendlichen bis 18 Jahren Kontakt. Die Kinder können hier an Werktagen einen kostenfreien Mittagstisch und ein Abendessen in Anspruch nehmen, die pädagogisch begleitet sind. Neben den Angeboten der Grundversorgung, zu denen auch eine Kleiderkammer für Kinder und andere praktische Hilfen zählen, gehören auch ein Hausaufgaben- und Nachhilfebereich sowie musische, kreative und sportliche Angebote und Feriencamps zur Arbeit der ARCHE. Außerdem begleiten wir Jugendliche durch den Schulabschluss in die Ausbildung hinein. Mit dem Coaching-Projekt „Mutmacher“ gelingt es so, jährlich über 60 Jugendliche in eine berufliche Perspektive zu begleiten und in akuten Krisen zu unterstützen.
Darüber hinaus gibt es ein Projekt „Familienarbeit“, dass über 90 Eltern regelmäßig mit Angeboten (Elterncafé, Familiencamp, Familienaktionen) vor Ort und bei Hausbesuchen begleitet, bei Behördengängen unterstützt und in Erziehungsthemen berät. Eine zweite Arche ist in Hamburg-Billstedt im Jahr 2016 entstanden und arbeitet nach dem Konzept der Jenfelder Arche mit täglich 40-80 Kindern. Auch dort ist 2019 ein Jugendbereich mit Angeboten für Teenager und Einzelförderung angegliedert worden.
Ein weiterer Standort entsteht im Moment in Hamburg-Harburg. Eine Eröffnung ist im Spätsommer 2020 geplant.
Die Zusammenarbeit mit Schule findet in verschiedenen Projekten statt, so sind wir seit 2012 Träger der Ganztagesschulprojekte an der Schule „Jenfelder Straße“ mit 180 Kindern, arbeiten mit den Stadtteilschulen Max-Schmeling-Schule und Otto-Hahn-Schule zusammen und haben das Schulprojekt „Guter Start“ mit einem ausgewogenen Frühstück für 40 Kinder an der Grundschule „Öjendorfer Damm“ entwickelt. Auch in Billstedt gibt es Kooperationsprojekte mit der Grundschule „An der Glinder Au“ und der Stadtteilschule „Öjendorf“ sowie zwei weiteren Grundschulen.
Wir sind Mitglied im Diakonischen Werk Hamburg und vernetzt mit anderen sozialen Einrichtungen in der Stadt.
Neu ist die Arbeit mit geflüchteten Kindern in den Unterkünften „Grunewaldstraße“ und „Elfsaal“. Um Parallelgesellschaften zu vermeiden, werden in den Unterkünften und im Stadtteil durch ein Team Angebote für Kinder und Jugendliche geschaffen, wo Begegnung stattfinden kann und Integration möglich gemacht wird.
Unser Grundansatz ist, den Kindern neben sinnvollen Angeboten feste Bezugspersonen zur Seite zu stellen, die sie über Jahre begleiten. In vielen Familien sind die Erwachsenen leider nicht in dem Maße ansprechbar, wie es nötig wäre. Somit arbeiten wir mit einem Team aus hauptamtlichen Pädagogen, das von Ehrenamtlichen unterstützt wird.
Abgesehen von den Projekten in den Schulen wird die Arbeit der ARCHE durch Spenden und Zuwendungen finanziert. Vereinssitz und Vorstand des deutschlandweiten Werkes befindet sich in Berlin. Insgesamt gibt es 26 Standorte in Deutschland, Polen und der Schweiz.
",,"WIR SUCHEN DICH!
Praktikum
Zur Unterstützung unseres Teams suchen wir für unsere Standorte in Hamburg Jenfeld und Hamburg Billstedt laufend Praktikanten (m/w/d). Zielgruppe unserer Arbeit sind Kinder und Teenager im Alter von 5- 13 Jahren. Die Wochenarbeitszeit umfasst 38,7 Std.




Wir bieten:

Eine vielseitige Tätigkeit mit Gestaltungsmöglichkeiten
Die Einbindung in ein motiviertes und wertschätzendes Team
Pädagogische Begleitung
Ab einer Dauer von 4 Monaten Taschengeld
Die Möglichkeit das Praktikum als Praxissemester innerhalb des Studiums der Sozialen Arbeit oder einer theologischen Ausbildung anzurechnen.
nach Absprache besteht die Möglichkeit in einer WG zu wohnen





Wir erwarten von dir:

Großes Herz und Freude am Aufbau von vertrauensvollen Beziehungen zu den Kindern/ Teens
Kreativität/ Selbständiges Arbeiten
Organisationsfähigkeit
Verbindliches Auftreten/Kontaktfreudigkeit
Flexibilität/Teamfähigkeit/Belastbarkeit
Identifikation mit unserer Arbeit/Vermittlung christlicher Werte
als Mindestalter 18 Jahre




Bitte sende deine Bewerbung an: „Die Arche“ Christl. Kinder- und Jugendwerk e.V.
Kinderbereich Hamburg – Jenfeld:
Görlitzerstr. 10. 22045 Hamburg
Carolin Hofmann: c.hofmann@kinderprojekt-arche.de


Kinderbereich Hamburg- Billstedt:
Landjägerstieg 30, 22117 Hamburg
Annalisa Hesse: a.hesse@kinderprojekt-arche.de







Ehrenamt
Zur Unterstützung unseres Teams suchen wir für unsere Standorte in Hamburg-Harburg ehrenamtliche Helfer, die mindestens einmal pro Woche einen festen Nachmittag Zeit haben, sie für Kinder einzubringen. Zielgruppe unserer Arbeit sind Kinder zwischen 6 und 13 Jahren.
Mögliche Aufgaben:

Mitarbeit in der offenen Kinderarbeit, Spielangebote, Mithilfe bei der christlichen Kinderparty
Mitarbeit bei der Essensausgabe oder in einer Kochschule für Kinder
Mitarbeit bei einem Feriencamp für Kinder
Einbringen eines eigenen Sport-, Musik- oder Kreativangebots




Bitte schick deine Anfrage an: Christl. Kinder- und Jugendwerk „Die Arche“
Kinderbereich Hamburg – Harburg: z. Hd. Tobias Lucht
t.lucht@kinderprojekt-arche.de oder 040/45063400




(Interessenten sollen mindestens 16 Jahre alt sein)



Freiwilliges soziales Jahr
Wir suchen einen  FSJ´ler/in  für die offene Kinderfreizeiteinrichtung (Kinder im Alter von 5-13Jahren) für die Dauer von 12 Monaten in Hamburg - Billstedt.
Als FSJ´ler/in erhältst Du Einblick in alle Aufgabenfelder der offenen Kinder- und Jugendarbeit und darfst nach Einarbeitung in allen Bereichen eigenständig tätig werden.
Dazu gehören:

Beziehungsaufbau und –pflege zu den Kindern/ Jugendlichen
Hausaufgabenbetreuung und Einzelförderung
Gestaltung der Freispielzeit im „Offenen Bereich“
Mitgestaltung bestehender Freizeitangebote, Ausflüge, Ferienprogrammen und Camps
Organisation, Durchführung und Auswertung eines eigenen Projekts
Mithilfe in der Kidsküche (Back- und Kochangebote für Kinder; Austeilen des Mittagessens)
Teilnahme an Teamsitzungen und Verwaltungsaufgaben
Teilnahme an spannenden FSJ-Begleitseminaren mit interessanten Themen

Wir wünschen uns von dir:

Begeisterung für Beziehungsarbeit mit Kindern oder Jugendlichen aus sozial benachteiligten Familien
Kreativität und Freude an der Mitgestaltung von Freizeitangeboten im offenen Bereich
Teamfähigkeit und Belastbarkeit
Identifikation mit den Zielen unserer pädagogischen Arbeit & der Vermittlung christlicher Werte
Mindestalter 18 Jahre

Du bist an einem Freiwilligem Sozialen Jahr bei uns im christlichen Kinder- und Jugendwerk „Die ARCHE“ interessiert? Deine Bewerbungsunterlagen und Nachfragen kannst du richten an:
Die Arche Christl. Kinder- und Jugendwerk e.V
Strasse: Landjägerstieg 30
PLZ Ort: 22117 Hamburg
Tel: 040/71667629
E-Mail: a.hesse@kinderprojekt-arche.de












",,"['https://edelmut.org/wp-content/uploads/2020/03/Arche_134-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2020/03/Arche_17-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2020/03/Arche_242-1-1024x683.jpg']",Watch the films here: https://edelmut.org/organisationen/die-arche-hamburg/#video
Bürgerstiftung Meißen,"Rauhentalstraße 50 
 01665 Meißen",http://www.buergerstiftung-meissen.de,,035214200564,,,"Die Bürgerstiftung Meißen ist eine gemeinnützige Einrichtung von Bürgern für Bürger in der Stadt Meißen. Sie will gleichsam bürgerschaftliches Engagement auslösen und unterstützen, Gemeinschaftssinn, sozialen Zusammenhalt, Chancengleichheit, Inklusion und Mitverantwortung der Bürger und Bürgerinnen in ihrer Stadt für ihre Stadt stärken. Damit trägt die Stiftung zu einer positiven und nachhaltigen Stadt- und Regionalentwicklung bei und bringt Meißen auf vielfältige Weise in Bewegung.
Ein großes Ziel der Bürgerstiftung Meißen besteht darin, die Jahnhalle, ein beeindruckendes denkmalgeschütztes Jugendstilgebäude, das 1895 in kürzester Zeit durch bürgerschaftliches Engagement erbaut wurde, als öffentlich zugänglichen Raum zum Spielen, Bewegen, Sporttreiben und Begegnen zu reaktivieren.
Dabei soll das Außengelände u.a. mit Spielgeräten für Kinder, einer Multisportanlage und Fitnessgeräten ausgestattet werden und jederzeit frei zugänglich sein. In der Halle entsteht ein generationenübergreifender Indoorspielplatz, der auch für den kleinen Geldbeutel Spiel und Bewegung bei jedem Wetter ermöglicht. Außerdem entstehen ein Café, gemeinschaftlich nutzbare Büroräume für Vereine und Selbstständige und Multifunktionsräume zur Vermietung.
Partizipation spielt bei der Bürgerstiftung Meißen eine ausschlaggebende Rolle und so sind alle Interessierten eingeladen sich sowohl an Planungstreffen als auch bei Aktionstagen mit Arbeitseinsätzen gemäß ihren Fähigkeiten und Fertigkeiten einzubringen. Jede und Jeder ist willkommen!
",,,,"['https://edelmut.org/wp-content/uploads/2020/02/IMG_0514-min-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2020/02/IMG_6324-1024x682.jpg', 'https://edelmut.org/wp-content/uploads/2020/02/Slackline-1024x768.jpg']",
Welcome to Barmbek e.V.,"39 Schlicksweg 
 22307 Hamburg",https://www.welcome-to-barmbek.de,,,,,"
Wir unterstützen geflüchtete Menschen in Barmbek.
In den vergangenen Jahren sind viele neue Nachbarn nach Barmbek gezogen, die aus ihren Ländern flüchten mussten. Wir wollen, dass unser Stadtteil auch ihre neue Heimat wird!
Wir sind eine rein ehrenamtliche Initiative. Wir bieten unseren Kontakt an, wir sprechen deutsch mit ihnen, bieten Beratung bei Wohnungssuche, bei Ausbildung und Beruf, beim Umgang mit Behörden, beim Umgang mit IT, verbringen Freizeit miteinander. Wir betreiben die Welcome Lounge als offenen Treffpunkt und haben viele Kooperationsprojekte in den Barmbeker Stadtteilzentren angestoßen.
Wir zeigen den Menschen, dass sie Teil einer aufgeschlossenen, zugewandten Nachbarschaft sind – Barmbek eben!

",,,,"['https://edelmut.org/wp-content/uploads/2020/01/IMG-20190510-WA0004-768x1024-1.jpg', 'https://edelmut.org/wp-content/uploads/2020/01/IMG-20190510-WA0001-768x1024-1.jpg', 'https://edelmut.org/wp-content/uploads/2020/01/IMG-20190510-WA0003-768x1024-1.jpg']",
Dachverband Clowns in Medizin und Pflege Deutschland e.V.,"Obere Hauptstr. 3 
 85354 Freising",https://www.dachverband-clowns.de,,08161149785,,,"Regelmäßige Clownsbesuche erleichtern kranken Kindern die oft schwere Zeit eines Klinikaufenthalts und fördern den Heilungsprozess. Im Dachverband Clowns in Medizin und Pflege Deutschland e.V. sind gemeinnützige Vereine aus unterschiedlichen Regionen miteinander verbunden, die professionelle Clowns Woche für Woche „auf Visite“ in Kinderkliniken entsenden. Die Besuche kommen sowohl Kindern, die nur kurze Zeit stationär aufgenommen werden, als auch schwerkranken und chronisch kranken Langzeitpatienten zugute.
Außerdem besuchen die Clowns die Bewohner verschiedener Seniorenheime im regelmäßigen Turnus und bringen durch ihr fröhliches Spiel und persönliche Zuwendung neue Farbtupfer in den Alltag und willkommene Aufhellung depressiver Stimmungen der Heimbewohner. Einrichtungen für schwerkranke Erwachsene und Menschen mit Behinderung, Palliativstationen und Hospize erweitern das Einsatzgebiet der Klinikclowns.
Der Dachverband Clowns in Medizin und Pflege wurde 2004 mit dem Ziel gegründet, Professionalität und Qualität der Arbeit von Klinikclowns zu fördern und die Idee von regelmäßiger Clownsvisiten in Krankenhäusern und Pflegeeinrichtungen bekannter zu machen. Die im Dachverband organisierten Vereine sind auf die Unterstützung von Spendern und Förderern angewiesen, die sich mit ihrem Anliegen identifizieren können und gemeinsam mit ihnen bunte Momente schenken wollen.
",,,,"['https://edelmut.org/wp-content/uploads/2019/12/DIE-CLOWN-DOKTOREN-by-Michael-Euler_Foto-Klinik-CD.jpg', 'https://edelmut.org/wp-content/uploads/2019/12/Bremer-Klinkclowns-by-Michael-Hagedorn_008-1024x683.jpg']",
KIDZ Shelter – wir helfen Kindern in Indien!,"Goernestraße 3c 
 20249 Hamburg",https://www.kidzshelter.de,'florian'@'kidzshelter.de',015123529139,,['Geldspende'],"Das KIDZ Shelter ist ein Kinderheim im Süden von Indien, in Sivakasi. Dort leben etwa 25 Mädchen, denen wir die Unterkunft, die leibliche und medizinische Versorgung sowie einen regelmäßigen Schulbesuch gewährleisten.
Das südindische Sivakasi gilt als die Welthauptstadt der Produktion von Feuerwerkskörpern.  Jährlich werden in der „Cracker City“ Böller im Wert von über fünf Milliarden Euro hergestellt. Es ist eine gefährliche Arbeit; seit den 1990er Jahren sind über 120 Todesfälle bei der Herstellung der Böller dokumentiert.
Obwohl Kinderarbeit in Indien verboten ist, kommt es bis heute immer noch vor, dass Kinder für diese Arbeit herangezogen werden. Besonders Mädchen sind auf Unterstützung angewiesen, denn im Zweifelsfall werden in den ganz armen Familien – wenn überhaupt – nur die Jungen zur Schule geschickt.
Für uns ist das KIDZ Shelter in der Welthauptstadt der Feuerwerkskörper mehr als nur ein Zeichen gegen Kinderarbeit, sondern eine Herzensangelegenheit für ein kindgerechtes Aufwachsen und eine gute schulische Ausbildung.
Das KIDZ Shelter ist Teil des eingetragenen und mit dem DZI Spendensiegel zertifizierten Vereins “Patengemeinschaft für hungernde Kinder e.V.”
","Unser Kinderheim ist in Sivakasi, einer an sich bei Touristen unbekannte Industriestadt im südindischen Bundesstaat Tamil Nadu mit etwa 100.000 Einwohner. Geschätzte 25,000 Menschen arbeiten in der Feuerwerksbranche, weiterhin gibt es über 50 Fabriken zur Produktion von Streichhölzern. Sivakasi gilt als Welthauptstadt der Feuerwerksindustrie. Die Industrien sind für Kinderarbeit – meistens Mädchen - und schwere Unfälle bekannt.
",,,"['https://edelmut.org/wp-content/uploads/2019/11/IMG_20161102_172715-2-1024x768.jpg', 'https://edelmut.org/wp-content/uploads/2019/11/Oman-Indien-2015-053-1024x768.jpg']",Watch the films here: https://edelmut.org/organisationen/kidz-shelter-wir-helfen-kindern-in-indien/#video
HAMBURGISCHE BRÜCKE – Gesellschaft für private Sozialarbeit e.V.,"Uhlenhorster Weg 7-11 
 22087 Hamburg",https://www.hamburgische-bruecke.de/,'info'@'hamburgische-bruecke.de',0402272980,"['Feste Mitarbeit', 'Ehrenamt']","['Geldspende', 'Zeitspende', 'Kooperation']","Soziales Engagement. Für Hamburg. Für Sie.
“Wir Hamburger lassen keinen von uns über Bord gehen!”
Dieser Satz unseres Gründers, Max M. Warburg, ist seit über 100 Jahren Ansporn unseres sozialen Engagements. Zu unserem Heimathafen zählen drei ambulante Pflegedienste, unsere Tagespflege Mole44, unsere sozialpsychiatrischen Beratungszentren sowie unser Demenzdock. Neben häuslicher und teilstationärer Pflege bieten wir auch die Vermittlung individueller Hilfen an, unterstützen psychisch erkrankte Menschen, stellen uns der neuen gesellschaftlichen Herausforderung, der Krankheit Demenz und gehören zu der Kooperation des Stadtteilprojektes Martini44.
","■ PFLEGE
Ihr Mutterschiff, das Sie bei der Pflege und
beim Älterwerden zuhause begleitet.
AMBULANTE PFLEGE
Sozialstation Eppendorf
Sozialstation Wandsbek-Barmbek
Pflegedienst Fuhlsbüttel-Langenhorn
TAGESPFLEGE
Mole44 Eppendorf
■ DEMENZ
Die Anlegestelle für pflegende Angehörige und
für die Unterstützung bei Demenz
■ AMBULANTE SOZIALPSYCHIATRIE
Ihr Rückenwind, wenn die Welt mal ins Wanken
geraten ist – Ermutigung erfahren, Möglichkeiten
entdecken, Freundschaft leben
Aufwind - Begegnung | Kultur | Soziales | Gesundheit
■ STIFTUNGEN / EINZELFALLHILFE
Das Lotsenboot, das Menschen aus Notlagen
hilft – finanziell und menschlich
„Wir sind immer für Sie im Einsatz!“
","
Altenpflegerin /Gesundheits- und Krankenpflegerin (m/w/d)
Voll- oder Teilzeit


Das erwartet Sie bei uns:

Durchführung einer professionellen ambulanten pflegerischen Versorgung
Beratung unserer Kunden und deren Angehörigen
Zusammenarbeit mit Ärzten, Therapeuten und weiteren Dienstleistern
Erstellen von Maßnahmenplänen und die laufende Aktualisierung der Pflegedokumentation
Die Beteiligung an der Umsetzung von internen Qualitätssicherungsmaßnahmen

Das bieten wir Ihnen:

Eine verlässliche Dienstplanung unter Berücksichtigung Ihrer persönlichen und familiären Situation
Faire Bezahlung, einen langfristigen Arbeitsplatz und 30 Tage Urlaub im Jahr
Eine umfassende Einarbeitung
Arbeiten in einem sympathischen und dynamischen Pflegeteam mit regelmäßigen Dienstbesprechungen
Fort- und Weiterbildungsmöglichkeiten sowie Supervision

Das bringen Sie mit:

Ausbildung als Gesundheits- und Krankenpflegerin (w/m/d) oder Altenpflegerin (w/m/d)
Kreativität, Kommunikationsvermögen und die Fähigkeit, flexibel auf unterschiedliche Situationen einzugehen
Freude an eigenständiger Arbeit und das aktive Einbringen in Ihr neues Team
Idealerweise Erfahrung mit dem Strukturmodell
Führerschein und/oder die Bereitschaft mit dem Rad zu fahren

Die Bereichsleitung Ulrike Böther freut sich auf Ihre vollständigen Bewerbungsunterlagen!
Per Email: job@hamburgische-bruecke.de
Haben Sie noch Fragen oder Anmerkungen? Dann steht Ihnen unsere Personalabteilung gerne unter 040-22 72 98 19 zur Verfügung!

",,['https://edelmut.org/wp-content/uploads/2019/09/kadDEU_16.08.2018_0657-1024x683.jpg'],Watch the films here: https://edelmut.org/organisationen/hamburgische-bruecke-gesellschaft-fuer-private-sozialarbeit-e-v/#video
Hamburgische Kulturstiftung,"Hohe Bleichen 18 
 20354 Hamburg",http://www.kulturstiftung-hh.de,'bodungen'@'kulturstiftung-hh.de',,,"['Geldspende', 'Zustiftung', 'Kooperation', 'Netzwerkpartner']","Die Hamburgische Kulturstiftung ist eine Stiftung des bürgerlichen Rechts und fördert seit 1988 Kunst und Kultur in Hamburg. Schwerpunkt ist die Förderung des künstlerischen Nachwuchses sowie der Kinder- und Jugendkultur in allen Sparten. Als eine der wichtigsten Hamburger Förderstiftungen für die junge kreative Szene der Stadt stellt sie jedes Jahr rund 1 Mio. Euro für die Unterstützung von Projekten zur Verfügung. Die Stiftung ist mit einem vergleichsweise geringen Kapital ausgestattet und betreibt aktives Fundraising. Sie versteht sich als Vermittlerin zwischen Kulturschaffenden und privaten Förderern (Privatpersonen, Unternehmen, andere Stiftungen), die sich gemeinsam für eine kulturell aktive, lebendige Stadtgesellschaft stark machen. Darüber hinaus verwaltet die Kulturstiftung treuhänderisch zahlreiche Treuhandstiftungen, Stiftungsfonds und Nachlässe unter ihrem Dach.
Unter dem Motto »Talente fördern – Zukunft stiften!« setzt sich die Hamburgische Kulturstiftung für den künstlerischen Nachwuchs sowie Kinder- und Jugendkultur in der Hansestadt ein. Im Fokus steht die Projektförderung in den Sparten Darstellende Kunst (Theater, Tanz, Performance, Musiktheater), Bildende Kunst, Musik, Literatur, Film, Fotografie, Kinder- und Jugendkultur sowie interdisziplinäre Vorhaben. Als Förderstiftung legt die Hamburgische Kulturstiftung keine eigenen Programme auf, sondern setzt auf den Ideenreichtum und die Wagnisse der jungen Kulturschaffenden. Durch ihre Projektförderung ermöglicht sie Talenten, die am Beginn ihrer Karriere stehen, ihre Vorhaben in Hamburg zu verwirklichen und erleichtert ihnen so den Einstieg in die Professionalität.
","Junge Künstlerinnen und Künster sowie Kinder- und Jugendkulturprojekte in Hamburg
",,,"['https://edelmut.org/wp-content/uploads/2019/08/48WilhelmsburgcGerhardKühne2-1024x683.jpeg', 'https://edelmut.org/wp-content/uploads/2019/08/Hajusom©ArnoldMorascher18-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/klangfest-–-MobilesMusikMuseum-©Richard-Stöhr.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/Alles_auf_Anfang©SimoneScardovelli1-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/HASEvsIGEL_Die-AZUBIScCaroline-Heinemann-1024x779.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/NeverSleepsDecodercGerhardKühne1-1024x391.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/Feiern-Feiern-7_Azizah-Hocke-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/B13-Toxic-Boom-Room-Foto-Lena-Schramm-1024x768.jpg']",Watch the films here: https://edelmut.org/organisationen/hamburgische-kulturstiftung/#video
terre des hommes,"11a Ruppenkampstraße 
 49084 Osnabrück",https://www.tdh-ag.de/hamburg.html,,040593244,,,"terre des hommes
Hilfe für Kinder in Not
Unser Ziel ist eine »terre des hommes«, eine »Erde der Menschlichkeit«. Wir schützen Kinder vor Sklaverei und Ausbeutung, helfen Flüchtlingskindern, kümmern uns um die Opfer von Krieg, Gewalt und Missbrauch und sorgen für die Erziehung und Ausbildung von Kindern. Wir unterstützen Jungen und Mädchen, deren Familien an Aids gestorben sind und setzen uns ein für das Recht von Kindern auf eine gesunde Umwelt und für den Schutz diskriminierter Bevölkerungsgruppen.
terre des hommes schickt keine Helferinnen und Helfer aus Deutschland, sondern unterstützt einheimische Initiativen mit Spenden und durch Beratung. Unsere Projektpartner vor Ort organisieren Selbsthilfeprojekte und betreuen Kinder in sicheren Kinderschutzzentren. Als Kinderhilfswerk richtet terre des hommes seine Arbeit konsequent an den Kinderrechten aus.
terre des hommes Deutschland e. V. wurde 1967 von engagierten Bürgerinnen und Bürgern gegründet, um schwer verletzten Kindern aus dem Vietnamkrieg zu helfen. Wir sind unabhängig von Regierungen, Wirtschaft, Religionsgemeinschaften und Parteien und fördern weltweit und in Deutschland über 400 Projekte für ausgebeutete und benachteiligte Kinder. In Deutschland engagieren sich Freiwillige in 120 Orten mit terre des hommes ehrenamtlich für Kinder in Not.
",,,,"['https://edelmut.org/wp-content/uploads/2019/08/Kinderarbeit_004_Indien_Foto_Theo_Dom1-1024x677.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/18_Mosambik_Kanimambo_Foto_Iris_Stolz_1219-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2019/08/Mach-mit-in-Hamburg1-1024x444.jpg']",
